"","Team","Rk.x","Age","W","L","PW","PL","MOV","SOS","SRS","ORtg","DRtg","Pace","FTr","3PAr","TS%","eFG%","TOV%","ORB%","FT/FGA","DRB%","Arena","Attend.","Attend./G","Rk.y","G","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","i"
"945","Milwaukee Bucks*","18","26.4","38","44","37","45","-1.50","-0.33","-1.83","103.6","105.2","94.7",".236",".232",".510",".492","14.4","27.9",".201","71.3","BMO Harris Bradley Center","616,469","15,036",12,82,241.8,38.1,87.8,0.435,7.3,20.4,0.36,30.8,67.4,0.457,15.3,20.7,0.736,13,30.9,44,22.9,8.4,6.7,14.1,19,98.9,2013
"946","Minnesota Timberwolves","19","26.4","31","51","34","48","-2.37","0.54","-1.83","102.9","105.4","92.8",".305",".220",".516",".511","15.0","27.4",".187","74.0","Target Center","669,956","16,340",19,82,240.6,35.9,81.7,0.439,5.5,18,0.305,30.4,63.7,0.477,18.5,24.9,0.742,11.9,30.2,42,22.4,8.5,4.7,14.8,18.4,95.7,2013
"947","New Orleans Hornets","23","24.0","27","55","30","52","-3.87","0.75","-3.12","105.7","110.1","88.5",".248",".224",".528",".520","13.1","29.2",".208","74.4","New Orleans Arena","565,930","13,803",24,82,241.2,36,80.4,0.448,6.5,18,0.363,29.5,62.4,0.473,15.5,20,0.776,12,29.6,41.6,21,6.3,5.4,14.5,20.4,94.1,2013
"948","New York Knicks*","7","30.2","54","28","53","29","4.23","-0.50","3.73","111.1","106.3","89.8",".258",".354",".550",".508","14.8","25.6",".216","74.7","Madison Square Garden (IV)","780,353","19,033",11,82,240.6,36.5,81.6,0.448,10.9,28.9,0.376,25.7,52.7,0.487,16,21.1,0.759,10.9,29.7,40.6,19.3,8.2,3.6,12,20.1,100,2013
"949","Oklahoma City Thunder*","1","26.0","60","22","64","18","9.21","-0.06","9.15","112.4","102.6","93.3",".338",".244",".580",".469","13.5","26.7",".197","73.4","Chesapeake Energy Arena","746,323","18,203",3,82,241.8,38.1,79.3,0.481,7.3,19.4,0.377,30.8,60,0.514,22.2,26.8,0.828,10.4,33.2,43.6,21.4,8.3,7.6,15.3,20.2,105.7,2013
"950","Orlando Magic","29","24.6","20","62","22","60","-6.99","-0.14","-7.12","101.6","109.1","92.2",".197",".223",".514",".508","11.8","25.4",".195","74.6","Amway Center","722,716","17,627",23,82,241.2,37.7,84.2,0.448,6.2,18.7,0.329,31.5,65.5,0.482,12.5,16.6,0.755,10.9,31.9,42.7,22.8,6.4,4.4,14.5,19.4,94.1,2013
"951","Philadelphia 76ers","24","25.2","34","48","31","51","-3.34","-0.17","-3.51","102.0","105.7","91.0",".200",".209",".509",".495","13.7","24.9",".200","73.4","Wells Fargo Center","685,412","16,717",30,82,240.9,37.3,84.1,0.444,6.3,17.5,0.36,31,66.5,0.466,12.2,16.8,0.729,10.9,30.4,41.3,22.8,7.4,4.7,13,18.4,93.2,2013
"952","Phoenix Suns","28","26.9","25","57","23","59","-6.46","0.71","-5.75","101.2","108.1","93.4",".234",".210",".512",".512","14.2","27.0",".208","71.9","US Airways Center","632,913","15,437",21,82,241.5,37.3,84.4,0.443,5.9,17.7,0.33,31.5,66.6,0.473,14.7,19.7,0.744,11.7,29.9,41.6,22.6,8,5.3,15.6,20.6,95.2,2013
"953","Portland Trail Blazers","21","24.4","33","49","32","50","-3.17","0.65","-2.53","105.8","109.2","91.4",".250",".284",".536",".512","12.5","25.3",".189","73.3","Rose Garden Arena","813,012","19,830",15,82,242.1,36.7,81.9,0.448,8.2,23.2,0.353,28.5,58.7,0.486,15.9,20.5,0.776,10.7,30.2,40.8,21.8,6.6,4.3,14.7,18.5,97.5,2013
"954","Sacramento Kings","25","25.6","28","54","28","54","-4.88","0.62","-4.26","106.2","111.4","93.6",".271",".243",".532",".517","13.6","26.6",".227","71.0","Sleep Train Arena","563,743","13,750",10,82,241.8,37.6,84.2,0.447,7.4,20.5,0.363,30.2,63.7,0.474,17.5,22.8,0.769,11.5,29.1,40.6,20.8,8.2,4.2,14.6,20.9,100.2,2013
"955","San Antonio Spurs*","3","28.6","58","24","58","24","6.40","0.27","6.67","108.3","101.6","94.2",".258",".264",".568",".480","13.7","20.5",".179","74.9","AT&T Center","755,700","18,432",4,82,242.4,39.1,81.4,0.481,8.1,21.5,0.376,31.1,59.9,0.519,16.6,21,0.791,8.1,33.2,41.3,25.1,8.5,5.4,14.7,17.4,103,2013
"956","Toronto Raptors","20","25.4","34","48","37","45","-1.48","-0.48","-1.96","105.9","107.5","90.4",".274",".249",".532",".500","13.6","25.5",".247","73.4","Air Canada Centre","743,936","18,145",16,82,243.7,36.3,81.5,0.446,7,20.3,0.343,29.4,61.2,0.48,17.6,22.3,0.788,10.6,29.6,40.2,21.5,7.3,4.8,13.7,22.4,97.2,2013
"957","Utah Jazz","13","26.3","43","39","41","41","-0.09","0.38","0.30","106.7","106.8","90.9",".281",".206",".533",".501","14.0","28.8",".226","73.2","EnergySolutions Arena","763,915","18,632",13,82,242.4,37.1,81.8,0.454,6.2,16.9,0.366,31,64.9,0.477,17.5,23,0.764,12.1,30,42,22.7,8.4,6.3,14.8,21.3,98,2013
"958","Washington Wizards","22","25.4","29","53","33","49","-2.54","-0.25","-2.78","100.2","103.0","92.2",".261",".223",".512",".483","13.7","24.6",".206","74.6","Verizon Center","670,070","16,343",28,82,242.1,35.5,81.6,0.435,6.6,18.2,0.365,28.8,63.4,0.455,15.6,21.3,0.733,10.8,32.3,43.2,21.6,7.3,4.6,15.1,20.5,93.2,2013
"959","Atlanta Hawks*","16","27.5","38","44","40","42","-0.48","-0.40","-0.88","105.9","106.4","94.6",".266",".316",".554",".510","14.0","21.0",".196","74.4","Philips Arena","587,927","14,231",15,82,241.8,37.3,81.6,0.458,9.4,25.8,0.363,28,55.8,0.502,17,21.7,0.781,8.7,31.3,40,24.9,8.3,4,15.3,19.2,101,2014
"960","Boston Celtics","25","25.4","25","57","28","54","-4.46","-0.51","-4.97","102.9","107.7","93.3",".248",".251",".517",".505","13.4","27.4",".227","74.2","TD Garden","742,400","18,107",26,82,240.6,36.5,83.9,0.435,7,21.1,0.333,29.5,62.9,0.47,16.2,20.8,0.777,12,30.5,42.5,21,7.1,4.2,15.4,21.3,96.2,2014
"961","Brooklyn Nets*","20","30.0","44","38","38","44","-1.00","-0.58","-1.58","106.7","107.7","91.4",".313",".301",".555",".509","14.9","21.7",".236","72.3","Barclays Center","707,331","17,252",21,82,242.4,35.7,77.9,0.459,8.6,23.4,0.369,27.1,54.5,0.497,18.4,24.4,0.753,8.8,29.4,38.1,20.9,8.6,3.8,14.5,21.7,98.5,2014
"962","Charlotte Bobcats*","17","25.5","43","39","40","42","-0.22","-0.67","-0.89","103.6","103.8","92.4",".297",".219",".522",".491","12.6","21.9",".183","77.6","Time Warner Cable Arena","636,268","15,519",23,82,242.7,36.3,82.1,0.442,6.3,17.9,0.351,30,64.1,0.468,18,24.4,0.737,9.5,33.2,42.7,21.7,6.1,5.1,12.3,18.2,96.9,2014
"963","Chicago Bulls*","14","28.6","48","34","47","35","1.85","-0.66","1.20","102.5","100.5","90.2",".290",".222",".518",".471","13.7","27.2",".189","75.4","United Center","890,370","21,716",30,82,243,34.7,80.2,0.432,6.2,17.8,0.348,28.5,62.4,0.456,18.1,23.3,0.779,11.4,32.7,44.1,22.7,7.2,5.2,14.9,19.1,93.7,2014
"964","Cleveland Cavaliers","23","24.9","33","49","32","50","-3.29","-0.57","-3.86","104.2","107.7","93.1",".268",".236",".518",".508","13.0","27.2",".199","75.8","Quicken Loans Arena","710,522","17,330",22,82,243,37,84.8,0.437,7.1,20,0.356,29.9,64.8,0.461,17,22.7,0.751,12.1,32.1,44.1,21.2,7.1,3.7,14.2,20,98.2,2014
"965","Dallas Mavericks*","11","30.6","49","33","48","34","2.40","0.50","2.91","111.2","108.7","93.5",".253",".274",".564",".515","14.8","24.6",".229","72.7","American Airlines Center","817,982","19,951",8,82,241.8,39.6,83.6,0.474,8.8,22.9,0.384,30.8,60.7,0.508,16.8,21.1,0.795,10.2,30.7,40.9,23.6,8.6,4.3,13.5,20,104.8,2014
"966","Denver Nuggets","18","26.0","36","46","35","47","-2.15","0.75","-1.40","106.0","108.2","98.1",".306",".278",".536",".500","12.8","27.5",".233","74.5","Pepsi Center","692,898","16,900",9,82,240.9,38.4,85.9,0.447,8.6,23.9,0.358,29.8,62,0.481,19.1,26.3,0.726,12.3,33.1,45.4,22.4,7.5,5.6,15.9,23,104.4,2014
"967","Detroit Pistons","24","24.7","29","53","31","51","-3.66","-0.48","-4.13","105.9","109.7","94.9",".296",".222",".514",".520","13.8","31.4",".218","73.4","The Palace of Auburn Hills","616,005","15,025",14,82,241.2,38.8,86.9,0.447,6.2,19.3,0.321,32.6,67.6,0.483,17.3,25.7,0.67,14.6,30.8,45.4,20.9,8.4,4.8,14.5,20.3,101,2014
"968","Golden State Warriors*","4","26.3","51","31","54","28","4.80","0.34","5.15","107.5","102.6","96.2",".247",".291",".550",".477","13.6","25.1",".224","76.3","Oracle Arena","803,436","19,596",10,82,241.8,39.5,85.4,0.462,9.4,24.8,0.38,30,60.6,0.496,15.9,21.1,0.753,10.9,34.4,45.3,23.3,7.8,5,15.2,21.8,104.3,2014
"969","Houston Rockets*","5","25.4","54","28","53","29","4.56","0.50","5.06","111.0","106.3","96.3",".386",".330",".571",".489","12.5","27.4",".193","74.1","Toyota Center","743,082","18,124",2,82,241.8,38,80.5,0.472,9.5,26.6,0.358,28.5,54,0.529,22.1,31.1,0.712,11.2,34.1,45.3,21.4,7.6,5.6,16.1,20.4,107.7,2014
"970","Indiana Pacers*","8","27.2","56","26","54","28","4.40","-0.77","3.63","104.1","99.3","92.5",".290",".235",".535",".460","12.9","24.9",".197","76.8","Bankers Life Fieldhouse","717,542","17,501",24,82,241.2,36,80.2,0.449,6.7,18.8,0.357,29.3,61.4,0.477,18.1,23.3,0.779,10.2,34.5,44.7,20.1,6.7,5.4,15.1,20.4,96.7,2014
"971","League Average","","26.6","","","41","41","0.00","0.00","0.00","106.7","106.7","93.9",".284",".259",".541",".501","13.6","25.5",".215","74.5","","713,714","17,407",NA,82,242,37.7,83,0.454,7.7,21.5,0.36,30,61.5,0.488,17.8,23.6,0.756,10.9,31.8,42.7,22,7.7,4.7,14.6,20.7,101,2014
"972","Los Angeles Clippers*","2","28.1","57","25","59","23","6.98","0.30","7.27","112.1","104.8","95.9",".353",".291",".567",".484","13.8","25.0",".222","72.5","STAPLES Center","787,692","19,212",1,82,240.9,39.1,82.5,0.474,8.5,24,0.352,30.7,58.5,0.525,21.2,29.1,0.73,10.5,32.5,43,24.6,8.6,4.8,13.9,21.5,107.9,2014
"973","Los Angeles Lakers","26","26.8","27","55","25","57","-6.29","0.96","-5.33","104.2","110.6","98.7",".263",".291",".542",".513","12.4","20.2",".192","71.0","STAPLES Center","771,974","18,829",11,82,240.3,38.3,85.1,0.45,9.4,24.8,0.381,28.8,60.3,0.478,17,22.4,0.757,9.1,32,41,24.5,7.5,5.4,15.1,19.8,103,2014
"974","Memphis Grizzlies*","13","28.5","50","32","46","36","1.57","0.61","2.18","106.3","104.6","89.9",".248",".171",".529",".497","13.8","28.3",".199","75.7","FedEx Forum","685,458","16,718",27,82,241.5,38.1,82,0.464,4.9,14,0.353,33.1,68,0.487,15.1,20.3,0.741,11.6,30.8,42.4,21.9,7.7,4.6,13.7,19.1,96.1,2014
"975","Miami Heat*","7","30.6","54","28","54","28","4.76","-0.61","4.15","110.9","105.8","91.2",".300",".292",".590",".511","15.8","20.6",".212","73.0","AmericanAirlines Arena","811,036","19,781",12,82,242.4,38.3,76.5,0.501,8.1,22.3,0.364,30.2,54.2,0.558,17.5,23,0.76,7.6,29.2,36.9,22.5,8.9,4.5,14.8,19.5,102.2,2014
"976","Milwaukee Bucks","29","24.7","15","67","20","62","-8.18","-0.23","-8.41","103.0","111.8","91.8",".274",".231",".519",".520","13.2","27.1",".225","71.4","BMO Harris Bradley Center","552,067","13,465",28,82,242.4,36,82.2,0.438,6.7,18.9,0.353,29.3,63.2,0.464,16.8,22.5,0.747,11.8,29.3,41.1,21.5,6.6,4.9,15.1,20.9,95.5,2014
"977","Minnesota Timberwolves","9","26.3","40","42","48","34","2.67","0.43","3.10","108.9","106.2","97.3",".321",".245",".535",".518","14.8","27.4",".177","74.4","Target Center","597,157","14,565",3,82,242.1,38.9,87.5,0.444,7.3,21.4,0.341,31.6,66.1,0.478,21.8,28.1,0.778,12.5,32.2,44.7,23.9,8.8,3.6,13.9,18.3,106.9,2014
"978","New Orleans Pelicans","21","24.3","34","48","33","49","-2.71","0.73","-1.98","107.2","110.1","92.2",".286",".193",".537",".515","13.6","26.9",".249","73.8","Smoothie King Center","672,029","16,391",18,82,242.1,37.8,82.5,0.459,5.9,15.9,0.373,31.9,66.6,0.479,18.2,23.6,0.769,11.4,30.3,41.7,21.3,7.9,6.4,13.8,22.6,99.7,2014
"979","New York Knicks","19","28.3","37","45","39","43","-0.79","-0.61","-1.40","108.3","109.1","90.3",".248",".302",".541",".514","14.0","25.1",".245","74.3","Madison Square Garden (IV)","812,292","19,812",20,82,242.1,36.9,82.2,0.449,9.3,24.9,0.372,27.7,57.3,0.482,15.5,20.4,0.761,10.6,29.7,40.3,20,7.7,4.5,13,22.1,98.6,2014
"980","Oklahoma City Thunder*","3","26.2","59","23","58","24","6.34","0.32","6.66","110.5","103.9","95.4",".303",".271",".566",".488","13.9","26.5",".221","75.6","Chesapeake Energy Arena","746,323","18,203",5,82,241.5,39,82.7,0.471,8.1,22.4,0.361,30.9,60.3,0.512,20.2,25,0.806,10.8,33.9,44.7,21.9,8.3,6.1,15.3,22.7,106.2,2014
"981","Orlando Magic","27","24.6","23","59","26","56","-5.44","-0.44","-5.88","101.7","107.4","93.6",".253",".235",".525",".504","13.0","22.4",".211","75.5","Amway Center","666,046","16,245",25,82,243.4,36.9,82.7,0.445,6.9,19.5,0.353,30,63.3,0.474,15.9,20.9,0.763,9.7,32.4,42,21,7.7,4.3,14.9,20.5,96.5,2014
"982","Philadelphia 76ers","30","23.4","19","63","16","66","-10.45","-0.21","-10.66","99.4","109.9","99.2",".268",".258",".510",".524","14.9","24.8",".244","72.4","Wells Fargo Center","568,632","13,869",19,82,242.1,37.9,87.2,0.435,7,22.5,0.312,30.9,64.7,0.477,16.6,23.4,0.71,11.6,31.2,42.7,21.8,9.3,4,16.9,22.5,99.5,2014
"983","Phoenix Suns","10","26.2","48","34","48","34","2.63","0.39","3.02","109.5","106.7","95.8",".293",".300",".558",".496","13.9","26.4",".237","73.7","US Airways Center","650,739","15,872",7,82,240.9,38.7,83.5,0.463,9.3,25.1,0.372,29.4,58.4,0.503,18.5,24.4,0.758,11.3,31.7,43,19.1,8.4,4.6,15.3,21.9,105.2,2014
"984","Portland Trail Blazers*","6","25.8","54","28","52","30","3.99","0.45","4.44","111.5","107.4","94.9",".270",".290",".548",".488","11.0","28.0",".194","74.7","Moda Center","809,612","19,747",4,82,242.1,39.1,87,0.45,9.4,25.3,0.372,29.7,61.7,0.481,19.1,23.5,0.815,12.5,34,46.4,23.2,5.5,4.7,13.7,19.2,106.7,2014
"985","Sacramento Kings","22","24.9","28","54","33","49","-2.90","0.82","-2.08","105.7","108.8","94.4",".331",".218",".532",".512","12.7","27.8",".234","76.6","Sleep Train Arena","667,949","16,291",17,82,241.8,36.9,82.5,0.447,6,18,0.333,30.9,64.5,0.479,20.7,27.3,0.759,12.1,32.4,44.5,18.9,7.2,3.9,15.2,22.5,100.5,2014
"986","San Antonio Spurs*","1","28.9","62","20","61","21","7.72","0.28","8.00","110.5","102.4","95.0",".240",".257",".571",".482","12.8","22.7",".184","76.4","AT&T Center","755,031","18,415",6,82,240.9,40.6,83.5,0.486,8.5,21.4,0.397,32,62,0.517,15.7,20,0.785,9.3,34,43.3,25.2,7.4,5.1,14.4,18.2,105.4,2014
"987","Toronto Raptors*","12","25.6","48","34","50","32","3.24","-0.69","2.55","108.8","105.3","91.8",".306",".285",".545",".493","14.1","27.2",".237","74.9","Air Canada Centre","748,339","18,252",13,82,243.4,36.5,81.9,0.445,8.7,23.4,0.372,27.8,58.5,0.475,19.6,25.1,0.782,11.4,31.1,42.5,21.2,7,4.2,14.1,23,101.3,2014
"988","Utah Jazz","28","24.5","25","57","22","60","-7.17","0.91","-6.27","103.5","111.3","91.4",".271",".237",".523",".518","12.1","25.5",".227","74.5","EnergySolutions Arena","745,203","18,176",29,82,241.2,36,81.1,0.444,6.6,19.2,0.344,29.4,61.9,0.474,16.4,22,0.747,11,30.2,41.2,20.3,7,4.5,14.6,20.7,95,2014
"989","Washington Wizards*","15","26.3","44","38","45","37","1.27","-0.79","0.48","106.0","104.6","93.2",".248",".246",".538",".504","15.0","25.2",".220","75.7","Verizon Center","698,068","17,026",16,82,244.6,38.7,84.4,0.459,7.9,20.8,0.38,30.9,63.6,0.485,15.3,20.9,0.731,10.8,31.4,42.2,23.3,8.1,4.6,14.7,20.4,100.7,2014
"990","Atlanta Hawks*","4","27.8","60","22","56","26","5.43","-0.68","4.75","108.9","103.1","93.9",".259",".321",".563",".492","14.9","21.4",".185","73.4","Philips Arena","713,909","17,412",10,82,240.6,38.1,81.7,0.466,10,26.2,0.38,28.1,55.5,0.506,16.5,21.2,0.778,8.7,31.8,40.6,25.7,9.1,4.6,14.2,17.8,102.5,2015
"991","Boston Celtics*","19","25.0","40","42","41","41","0.16","-0.56","-0.40","104.7","104.5","95.8",".233",".280",".523",".494","13.7","24.7",".208","75.0","TD Garden","721,350","17,594",13,82,242.4,38.9,87.9,0.443,8,24.6,0.327,30.9,63.3,0.488,15.4,20.5,0.754,11.1,32.7,43.8,24.5,8.2,3.6,13.8,21.2,101.4,2015
"992","Brooklyn Nets*","24","28.6","38","44","33","49","-2.88","-0.25","-3.13","104.4","107.4","92.7",".267",".240",".529",".506","12.9","23.9",".185","73.7","Barclays Center","698,529","17,037",21,82,243,37.4,83,0.451,6.6,19.9,0.331,30.8,63.1,0.489,16.6,22.2,0.748,10.3,32,42.4,20.9,7,4.1,13.8,19.3,98,2015
"993","Charlotte Hornets","25","26.0","33","49","32","50","-3.17","-0.27","-3.44","100.1","103.5","93.0",".269",".226",".498",".487","12.0","22.1",".188","79.3","Time Warner Cable Arena","704,886","17,192",28,82,242.7,35.5,84.5,0.42,6.1,19.1,0.318,29.5,65.4,0.45,17,22.8,0.748,10,34.1,44.1,20.2,6.1,5.5,11.9,18.2,94.2,2015
"994","Chicago Bulls*","10","28.8","50","32","50","32","3.00","-0.46","2.54","107.5","104.3","92.8",".304",".269",".536",".473","11.3","27.0",".182","74.4","United Center","886,612","21,625",15,82,242.4,36.6,82.9,0.442,7.9,22.3,0.353,28.7,60.6,0.474,19.7,25.2,0.783,11.7,34,45.7,21.7,6.3,5.8,14,18.2,100.8,2015
"995","Cleveland Cavaliers*","6","26.9","53","29","53","29","4.48","-0.40","4.08","111.1","106.3","92.3",".287",".334",".557",".502","12.6","26.8",".177","74.7","Quicken Loans Arena","843,042","20,562",8,82,241.2,37.7,82.2,0.458,10.1,27.5,0.367,27.6,54.7,0.504,17.7,23.6,0.751,11.1,31.9,43,22.1,7.4,4.1,14.3,18.4,103.1,2015
"996","Dallas Mavericks*","9","29.9","50","32","49","33","2.90","0.46","3.36","109.5","106.4","95.2",".262",".296",".550",".503","14.7","23.6",".204","72.2","American Airlines Center","827,702","20,188",3,82,242.4,39.7,85.8,0.463,8.9,25.4,0.352,30.8,60.4,0.509,16.9,22.5,0.752,10.5,31.8,42.3,22.5,8.1,4.5,13,20,105.2,2015
"997","Denver Nuggets","22","26.4","30","52","31","51","-3.55","0.48","-3.07","104.5","108.2","96.1",".278",".284",".518",".504","13.0","26.6",".239","74.7","Pepsi Center","602,707","14,700",12,82,242.4,37.8,87.3,0.433,8,24.8,0.325,29.7,62.5,0.476,17.8,24.3,0.734,12.3,32.4,44.7,21.8,7.8,4.5,14.2,23,101.5,2015
"998","Detroit Pistons","20","25.9","32","50","38","44","-1.00","-0.39","-1.39","105.3","106.4","92.8",".261",".290",".515",".502","13.2","27.7",".192","75.0","The Palace of Auburn Hills","625,917","15,266",18,82,241.8,37.1,85.8,0.432,8.6,24.9,0.344,28.5,60.9,0.468,15.8,22.4,0.703,12.8,32.1,44.9,21.6,7.6,4.7,13.4,19,98.5,2015
"999","Golden State Warriors*","1","26.6","67","15","65","17","10.10","-0.09","10.01","111.6","101.4","98.3",".239",".311",".571",".470","14.3","24.1",".217","74.5","Oracle Arena","803,436","19,596",1,82,240.6,41.6,87,0.478,10.8,27,0.398,30.8,60,0.514,16,20.8,0.768,10.4,34.3,44.7,27.4,9.3,6,14.5,19.9,110,2015
"1000","Houston Rockets*","7","27.6","56","26","50","32","3.44","0.38","3.82","107.0","103.4","96.5",".312",".392",".548",".486","14.6","26.8",".208","72.9","Toyota Center","747,412","18,230",6,82,241.5,37,83.3,0.444,11.4,32.7,0.348,25.6,50.6,0.506,18.6,26,0.715,11.7,32,43.7,22.2,9.5,5,16.7,22,103.9,2015
"1001","Indiana Pacers","17","28.3","38","44","42","40","0.28","-0.51","-0.23","103.5","103.2","93.2",".266",".255",".523",".478","12.0","24.0",".217","77.9","Bankers Life Fieldhouse","691,434","16,864",24,82,242.1,36.6,83.2,0.439,7.5,21.2,0.352,29.1,62,0.469,16.7,22.2,0.756,10.4,34.4,44.9,21.4,6.2,4.6,14,21.2,97.3,2015
"1002","League Average","","26.8","","","41","41","0.00","0.00","0.00","105.6","105.6","93.9",".273",".268",".534",".496","13.3","25.1",".205","74.9","","729,877","17,814",NA,82,242,37.5,83.6,0.449,7.8,22.4,0.35,29.7,61.2,0.485,17.1,22.8,0.75,10.9,32.4,43.3,22,7.7,4.8,14.4,20.2,100,2015
"1003","Los Angeles Clippers*","2","28.8","56","26","58","24","6.59","0.22","6.80","112.4","105.5","94.7",".303",".322",".565",".493","13.2","22.8",".231","75.7","STAPLES Center","785,892","19,168",2,82,240.6,39.4,83.3,0.473,10.1,26.9,0.376,29.3,56.4,0.519,17.9,25.2,0.71,9.6,33.1,42.6,24.8,7.8,5,12.3,21.3,106.7,2015
"1004","Los Angeles Lakers","27","27.0","21","61","23","59","-6.84","0.67","-6.17","103.4","110.6","94.0",".276",".220",".513",".518","12.1","25.4",".231","76.3","STAPLES Center","768,244","18,738",19,82,243,37.2,85.6,0.435,6.5,18.9,0.344,30.8,66.8,0.461,17.5,23.6,0.741,11.6,32.3,43.9,20.9,7,4.5,13.2,21.2,98.5,2015
"1005","Memphis Grizzlies*","8","29.6","55","27","50","32","3.24","0.38","3.62","105.7","102.2","92.0",".276",".184",".531",".492","14.5","24.7",".183","75.3","FedEx Forum","710,502","17,329",20,82,242.7,37.8,82.5,0.458,5.2,15.2,0.339,32.6,67.3,0.485,17.6,22.8,0.773,10.4,32.1,42.6,21.7,8.5,4.2,13.3,19.1,98.3,2015
"1006","Miami Heat","21","28.5","37","45","33","49","-2.60","-0.32","-2.92","103.9","106.7","90.9",".306",".262",".540",".505","14.2","23.2",".213","73.4","AmericanAirlines Arena","808,223","19,713",27,82,240.6,35.2,77.2,0.456,6.8,20.2,0.335,28.4,57,0.499,17.5,23.7,0.741,9.1,30,39.1,19.8,7.8,4.5,14.8,20,94.7,2015
"1007","Milwaukee Bucks*","16","24.6","41","41","42","40","0.43","-0.52","-0.09","102.7","102.2","94.1",".258",".223",".536",".487","15.9","25.4",".221","73.3","BMO Harris Bradley Center","593,910","14,813",22,82,243,37.6,82,0.459,6.6,18.3,0.363,31,63.7,0.486,16,21.1,0.757,10.7,31.4,42.1,23.6,9.6,4.9,16.7,22.1,97.8,2015
"1008","Minnesota Timberwolves","28","24.4","16","66","19","63","-8.79","0.79","-8.00","102.9","112.2","94.4",".309",".179",".517",".537","13.9","26.6",".187","71.6","Target Center","595,652","14,416",23,82,241.5,36.4,83.2,0.438,5,14.9,0.332,31.5,68.3,0.461,20,25.7,0.776,11.6,29.3,40.9,21.6,8.1,4,15,19.2,97.8,2015
"1009","New Orleans Pelicans*","13","25.3","45","37","43","39","0.79","0.34","1.13","108.2","107.3","91.4",".263",".233",".537",".496","11.7","27.1",".195","75.1","Smoothie King Center","683,757","16,677",16,82,241.2,37.9,82.9,0.457,7.1,19.3,0.37,30.8,63.6,0.484,16.4,21.8,0.751,11.5,32,43.5,22,6.7,6.2,13.3,18.7,99.4,2015
"1010","New York Knicks","30","26.9","17","65","17","65","-9.32","-0.18","-9.50","99.9","110.0","91.2",".234",".240",".508",".512","13.3","24.5",".234","73.1","Madison Square Garden (IV)","812,292","19,812",30,82,242.1,35.1,82,0.428,6.8,19.7,0.347,28.3,62.3,0.454,14.8,19.2,0.769,10.6,29.8,40.4,21.3,7,4.7,14.7,21.6,91.9,2015
"1011","Oklahoma City Thunder","11","25.4","45","37","47","35","2.18","0.28","2.47","107.8","105.5","95.7",".284",".262",".532",".489","12.4","28.9",".213","75.6","Chesapeake Energy Arena","746,323","18,203",5,82,241.8,38.8,86.8,0.447,7.7,22.7,0.339,31.1,64.1,0.486,18.6,24.6,0.754,12.8,34.7,47.5,20.5,7.3,5.5,14.7,22.3,104,2015
"1012","Orlando Magic","26","24.3","25","57","25","57","-5.72","-0.15","-5.87","101.6","107.7","93.8",".230",".235",".524",".514","13.6","23.1",".210","76.0","Amway Center","688,194","16,785",25,82,240.9,37.5,82.8,0.453,6.8,19.5,0.347,30.8,63.3,0.486,13.9,19.1,0.729,10,31.8,41.8,20.6,7.9,3.8,14.9,20.9,95.7,2015
"1013","Philadelphia 76ers","29","23.2","18","64","18","64","-8.98","-0.07","-9.04","95.5","104.8","95.7",".288",".319",".494",".497","15.2","25.5",".225","73.0","Wells Fargo Center","571,572","13,941",29,82,241.5,33.7,82.6,0.408,8.4,26.3,0.32,25.3,56.3,0.449,16.1,23.8,0.676,11.9,30.9,42.9,20.5,9.6,5.9,17.7,21.7,92,2015
"1014","Phoenix Suns","18","25.7","39","43","38","44","-0.90","0.52","-0.38","105.3","106.2","96.3",".251",".291",".537",".497","14.0","24.5",".221","73.5","US Airways Center","693,862","16,923",11,82,242.4,38.8,85.8,0.452,8.5,25,0.341,30.2,60.9,0.497,16.4,21.5,0.76,10.9,32.2,43.2,20.2,8.5,4.7,15.1,21.3,102.4,2015
"1015","Portland Trail Blazers*","5","27.0","51","31","53","29","4.23","0.18","4.41","108.2","103.7","94.2",".225",".316",".544",".476","11.3","24.2",".182","76.2","Moda Center","798,368","19,472",9,82,242.1,38.7,86,0.45,9.8,27.2,0.362,28.9,58.8,0.491,15.5,19.4,0.801,10.7,35.1,45.9,21.9,6.4,4.5,13.6,18.2,102.8,2015
"1016","Sacramento Kings","23","26.0","29","53","31","51","-3.71","0.64","-3.07","105.3","109.2","95.4",".363",".204",".542",".507","11.8","26.5",".200","75.2","Sleep Train Arena","680,049","16,587",14,82,242.1,36.7,80.7,0.455,5.6,16.5,0.341,31.1,64.2,0.484,22.3,29.3,0.762,10.9,33.3,44.2,20.3,6.7,4,16.3,20.7,101.3,2015
"1017","San Antonio Spurs*","3","29.8","55","27","58","24","6.20","0.14","6.34","108.5","102.0","93.8",".256",".269",".555",".484","13.3","23.4",".190","77.3","AT&T Center","762,855","18,606",7,82,243.4,39.1,83.6,0.468,8.3,22.5,0.367,30.9,61.1,0.505,16.7,21.4,0.78,9.8,33.8,43.6,24.4,8,5.4,14,19.1,103.2,2015
