"","Team","Rk.x","Age","W","L","PW","PL","MOV","SOS","SRS","ORtg","DRtg","Pace","FTr","3PAr","TS%","eFG%","TOV%","ORB%","FT/FGA","DRB%","Arena","Attend.","Attend./G","Rk.y","G","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","i"
"89","Phoenix Suns*","4","26.6","53","29","54","28","5.06","-0.45","4.61","105.1","100.1","101.6",".306",".022",".540",".458","15.9","32.0",".235","67.5","Arizona Veterans Memorial Coliseum","465,603","",16,82,240.6,43.4,87.3,0.497,0.5,1.9,0.253,42.9,85.4,0.502,19.8,26.7,0.743,13.3,30.7,44,28,9.1,6,18.8,25.1,107,1983
"90","Portland Trail Blazers*","10","25.5","46","36","47","35","2.13","-0.25","1.88","106.0","103.9","101.0",".353",".021",".535",".490","16.0","33.3",".218","67.9","Memorial Coliseum","483,974","",15,82,240.9,42.2,86.9,0.486,0.4,1.8,0.233,41.8,85,0.491,22.6,30.6,0.738,14.4,29,43.4,24.8,9.1,4.7,18.2,23.9,107.4,1983
"91","San Antonio Spurs*","6","27.2","53","29","50","32","3.66","-0.56","3.10","110.1","106.6","103.3",".336",".042",".556",".489","14.4","35.3",".228","69.1","HemisFair Arena","379,876","",3,82,241.2,45.1,89.5,0.504,1.1,3.8,0.305,43.9,85.8,0.512,23,30.1,0.765,15,31.7,46.7,27.6,8.2,5.7,18.3,25.5,114.3,1983
"92","San Diego Clippers","20","24.8","25","57","29","53","-4.83","0.22","-4.61","104.7","109.3","103.0",".288",".034",".518",".531","17.6","37.1",".284","65.8","San Diego Sports Arena","195,883","",14,82,241.8,44.2,93.1,0.475,0.8,3.2,0.244,43.4,89.9,0.483,19.4,26.8,0.724,17,25.7,42.7,25.5,10,5,19.5,27.9,108.6,1983
"93","Seattle SuperSonics*","7","27.4","48","34","49","33","3.21","-0.33","2.88","105.9","102.8","103.2",".338",".019",".539",".464","14.3","32.5",".210","66.2","King County Domed Stadium","539,622","",10,82,241.5,43.9,88.7,0.494,0.4,1.7,0.21,43.5,87.1,0.5,21.9,30,0.73,14,31.3,45.4,27.8,8.3,5.3,18.7,24,110,1983
"94","Utah Jazz","18","25.7","30","52","30","52","-4.20","-0.03","-4.22","101.2","105.1","107.3",".332",".025",".531",".481","15.2","29.0",".208","63.9","Salt Palace","355,219","",11,82,240.9,43,89.5,0.48,0.5,2.2,0.24,42.5,87.3,0.486,22.5,29.8,0.756,13.3,31.1,44.4,26.5,9.2,7.3,20.5,24.6,109,1983
"95","Washington Bullets","13","25.8","42","40","41","41","-0.13","0.33","0.20","99.1","99.3","99.4",".292",".034",".511",".471","16.2","30.4",".214","68.6","Capital Centre","368,281","",22,82,241.5,40.3,86.1,0.468,0.9,2.9,0.295,39.5,83.2,0.474,17.7,25.1,0.705,13.4,29.6,43,25,8.9,4.9,19.4,23.9,99.2,1983
"96","Atlanta Hawks*","14","26.6","40","42","37","45","-1.29","0.22","-1.08","105.5","106.9","95.3",".355",".016",".529",".482","15.1","31.6",".268","65.2","Omni Coliseum","286,049","",23,82,242.1,39.4,83,0.474,0.3,1.3,0.217,39.1,81.7,0.478,22.4,29.4,0.761,13.6,27.2,40.8,22.3,7.6,6.8,16.2,25.5,101.5,1984
"97","Boston Celtics*","1","28.0","62","20","57","25","6.56","-0.14","6.42","110.9","104.4","99.7",".333",".032",".554",".475","13.8","34.2",".225","69.7","Boston Garden","606,857","",7,82,243.4,44.1,88.2,0.5,0.7,2.8,0.24,43.4,85.4,0.508,23.3,29.4,0.792,14.1,31,45.1,25.9,8.2,5.2,17.3,23.8,112.1,1984
"98","Chicago Bulls","23","24.4","27","55","28","54","-5.18","0.50","-4.69","102.4","107.5","99.8",".360",".017",".526",".497","15.6","32.3",".266","67.2","Chicago Stadium","256,430","",20,82,243.7,40.3,85,0.474,0.2,1.4,0.171,40.1,83.6,0.479,22.8,30.6,0.746,13.9,28,42,25.5,8.4,5.5,19.2,26.8,103.7,1984
"99","Cleveland Cavaliers","21","25.4","28","54","30","52","-4.26","0.55","-3.71","104.1","108.5","97.4",".301",".023",".512",".490","13.2","33.5",".280","70.8","Coliseum at Richfield","208,094","",22,82,242.1,41,88.2,0.465,0.5,2,0.262,40.5,86.2,0.47,19.7,26.6,0.743,14.8,29.1,43.9,23.5,7.7,4.6,16.2,26.9,102.3,1984
"100","Dallas Mavericks*","11","24.7","43","39","42","40","0.43","-0.27","0.15","110.0","109.6","99.0",".325",".025",".547",".503","14.4","31.7",".232","65.7","Reunion Arena","538,162","",11,82,243.4,44.1,88.2,0.5,0.5,2.2,0.228,43.6,86,0.507,21.6,28.7,0.755,13.3,27.6,40.9,26.4,7.1,4.4,15.9,23.2,110.4,1984
"101","Denver Nuggets*","15","27.0","38","44","38","44","-1.10","-0.17","-1.27","111.3","112.3","110.5",".337",".032",".553",".522","14.6","29.3",".277","66.6","McNichols Sports Arena","462,407","",1,82,241.5,48,97.4,0.493,0.9,3.1,0.302,47,94.2,0.499,26.8,32.8,0.818,13.8,29.8,43.6,30.3,8.7,4.3,16.4,27.8,123.7,1984
"102","Detroit Pistons*","4","25.4","49","33","50","32","3.59","-0.06","3.52","111.5","108.1","103.8",".322",".018",".532",".500","14.8","36.7",".263","67.7","Pontiac Silverdome","652,865","",3,82,242.7,46.3,96.5,0.48,0.4,1.7,0.227,45.9,94.7,0.485,24.1,31.1,0.775,17.4,29.7,47.1,27.5,8.5,5.1,16,26.5,117.1,1984
